Partners,Partnership Career Span,Partnership Career Start,Partnership Career End,Number Of Partnerships,Unbroken Partnerships,Total Partnership Runs,Highest Partnership,Avg Partnership Per Dismissal,Century Partnerships,Fifty Runs And Over Partnerships,Country
"KWR Fletcher, FC Hayes",1973-1975,1973,1975,3,1,114,83,57.00,0,1,England
"IR Bell, BA Stokes",2011-2014,2011,2014,3,0,113,51,37.66,0,1,England
"AD Brown, GA Hick",1996-1996,1996,1996,2,0,113,85,56.50,0,1,England
"LE Plunkett, VS Solanki",2005-2006,2005,2006,2,1,113,100,113.00,1,0,England
"MM Ali, LE Plunkett",2015-2018,2015,2018,3,0,112,71,37.33,0,1,England
"PAJ DeFreitas, AJ Lamb",1987-1990,1987,1990,7,1,112,47,18.66,0,0,England
"GA Gooch, CT Radley",1978-1978,1978,1978,1,0,111,111,111.00,1,0,England
"EJG Morgan, AJ Strauss",2010-2010,2010,2010,4,0,111,57,27.75,0,1,England
"MJ Prior, ME Trescothick",2005-2005,2005,2005,5,0,111,43,22.20,0,0,England
"GP Thorpe, MP Vaughan",2001-2002,2001,2002,3,0,111,89,37.00,0,1,England
"NH Fairbrother, A Flintoff",1999-1999,1999,1999,3,0,110,72,36.66,0,1,England
"EC Joyce, KP Pietersen",2007-2007,2007,2007,2,0,110,103,55.00,1,0,England
"ID Blackwell, C White",2002-2003,2002,2003,2,0,109,72,54.50,0,1,England
"DJ Capel, GA Gooch",1987-1987,1987,1987,1,0,109,109,109.00,1,0,England
"RDB Croft, D Gough",1997-2001,1997,2001,11,4,109,42*,15.57,0,0,England
"MH Denness, D Lloyd",1974-1974,1974,1974,2,0,109,103,54.50,1,0,England
"GA Gooch, RC Russell",1990-1990,1990,1990,1,1,109,109*,-,1,0,England
"AJ Lamb, CJ Richards",1987-1987,1987,1987,3,0,109,60,36.33,0,1,England
"RC Russell, RA Smith",1989-1991,1989,1991,3,1,109,73,54.50,0,1,England
"PR Downton, MW Gatting",1984-1985,1984,1985,3,1,108,86*,54.00,0,1,England
"DL Amiss, D Lloyd",1974-1975,1974,1975,2,0,107,70,53.50,0,1,England
"SCJ Broad, AD Mascarenhas",2007-2009,2007,2009,4,1,107,59,35.66,0,1,England
"DI Gower, CM Old",1978-1979,1978,1979,2,2,107,54*,-,0,2,England
"GS Ballance, BA Stokes",2014-2014,2014,2014,3,0,106,52,35.33,0,1,England
"PD Collingwood, NV Knight",2001-2001,2001,2001,3,1,106,78*,53.00,0,1,England
"A Flintoff, GO Jones",2004-2005,2004,2005,4,0,106,45,26.50,0,0,England
"OA Shah, AJ Strauss",2006-2009,2006,2009,6,0,106,50,17.66,0,1,England
"RS Bopara, MH Yardy",2010-2011,2010,2011,4,2,105,50*,52.50,0,1,England
"PD Collingwood, C Kieswetter",2010-2010,2010,2010,3,0,105,74,35.00,0,1,England
"DI Gower, GRJ Roope",1978-1978,1978,1978,1,0,105,105,105.00,1,0,England
"AD Mascarenhas, OA Shah",2007-2009,2007,2009,5,1,105,73*,26.25,0,1,England
"EJG Morgan, LE Plunkett",2015-2017,2015,2017,2,0,105,55,52.50,0,2,England
"RS Bopara, JL Denly",2009-2009,2009,2009,4,0,104,45,26.00,0,0,England
"MA Carberry, EJG Morgan",2013-2013,2013,2013,1,0,104,104,104.00,1,0,England
"PAJ DeFreitas, NA Foster",1987-1989,1987,1989,7,1,104,42,17.33,0,0,England
"LE Plunkett, AU Rashid",2015-2018,2015,2018,4,0,104,76,26.00,0,1,England
"JWA Taylor, CR Woakes",2015-2015,2015,2015,2,0,104,92,52.00,0,1,England
"W Larkins, JE Morris",1990-1990,1990,1990,2,0,103,72,51.50,0,1,England
"JP Crawley, GP Thorpe",1995-1997,1995,1997,3,0,102,60,34.00,0,1,England
"GA Gooch, DW Randall",1976-1980,1976,1980,4,0,102,48,25.50,0,0,England
"MA Ealham, NH Fairbrother",1999-1999,1999,1999,6,0,101,39,16.83,0,0,England
"DI Gower, VJ Marks",1983-1983,1983,1983,4,0,101,53,25.25,0,1,England
"CWJ Athey, AJ Lamb",1986-1987,1986,1987,3,0,100,46,33.33,0,0,England
"N Hussain, VJ Wells",1999-1999,1999,1999,2,0,100,67,50.00,0,1,England
"TT Bresnan, MH Yardy",2010-2011,2010,2011,7,1,99,48,16.50,0,0,England
"KWR Fletcher, B Wood",1972-1975,1972,1975,4,1,99,39,33.00,0,0,England
"MW Gatting, DW Randall",1977-1984,1977,1984,6,2,99,45*,24.75,0,0,England
"D Gough, GP Thorpe",1995-2001,1995,2001,7,0,99,31,14.14,0,0,England
"BC Broad, MD Moxon",1988-1988,1988,1988,3,0,98,37,32.66,0,0,England
"G Fowler, RT Robinson",1984-1985,1984,1985,5,0,98,47,19.60,0,0,England
"NH Fairbrother, MR Ramprakash",1991-1996,1991,1996,3,1,97,52,48.50,0,1,England
"G Fowler, MW Gatting",1984-1986,1984,1986,4,0,97,47,24.25,0,0,England
"NV Knight, VJ Wells",1999-1999,1999,1999,3,0,97,53,32.33,0,1,England
"MM Ali, DJ Willey",2015-2018,2015,2018,4,2,96,34,48.00,0,0,England
"JM Bairstow, SW Billings",2015-2017,2015,2017,2,0,96,80,48.00,0,1,England
"MA Atherton, AJ Hollioake",1997-1997,1997,1997,1,1,95,95*,-,0,1,England
"DL Bairstow, IT Botham",1980-1984,1980,1984,5,0,95,33,19.00,0,0,England
"JM Bairstow, RS Bopara",2011-2011,2011,2011,4,1,95,75*,31.66,0,1,England
"DJ Capel, MW Gatting",1987-1988,1987,1988,2,0,95,49,47.50,0,0,England
"D Gough, SJ Harmison",2004-2005,2004,2005,7,5,95,50*,47.50,0,1,England
"AJ Hollioake, RC Russell",1998-1998,1998,1998,2,0,95,49,47.50,0,0,England
"C Kieswetter, SR Patel",2012-2013,2012,2013,2,1,95,70*,95.00,0,1,England
"DW Randall, GRJ Roope",1977-1978,1977,1978,2,0,95,48,47.50,0,0,England
"PAJ DeFreitas, RC Russell",1989-1996,1989,1996,7,0,94,26,13.42,0,0,England
"MW Gatting, P Willey",1980-1985,1980,1985,3,0,94,66,31.33,0,1,England
"DI Gower, P Willey",1979-1980,1979,1980,3,0,94,69,31.33,0,1,England
"JM Bairstow, SR Patel",2011-2011,2011,2011,3,0,93,86,31.00,0,1,England
"IR Bell, A Flintoff",2006-2007,2006,2007,3,0,93,44,31.00,0,0,England
"IR Bell, LJ Wright",2008-2008,2008,2008,4,0,93,49,23.25,0,0,England
"PR Downton, DR Pringle",1986-1988,1986,1988,4,1,93,66,31.00,0,1,England
"A Flintoff, RC Irani",2002-2003,2002,2003,3,0,93,76,31.00,0,1,England
"G Fowler, GA Gooch",1985-1986,1985,1986,3,0,93,54,31.00,0,1,England
"MA Atherton, MR Ramprakash",1995-1995,1995,1995,1,0,92,92,92.00,0,1,England
"IT Botham, P Willey",1979-1981,1979,1981,3,0,92,46,30.66,0,0,England
"TT Bresnan, JC Buttler",2013-2014,2013,2014,5,2,92,41*,30.66,0,0,England
"AF Giles, MP Vaughan",2004-2004,2004,2004,1,0,92,92,92.00,0,1,England
"CMW Read, ME Trescothick",2003-2004,2003,2004,3,1,92,77*,46.00,0,1,England
"JJ Roy, BA Stokes",2015-2016,2015,2016,2,0,92,72,46.00,0,1,England
"MH Denness, CM Old",1974-1975,1974,1975,3,1,91,89*,45.50,0,1,England
"RS Bopara, MP Vaughan",2007-2007,2007,2007,1,0,90,90,90.00,0,1,England
"VJ Marks, DW Randall",1983-1984,1983,1984,2,0,90,68,45.00,0,1,England
"PA Nixon, KP Pietersen",2007-2007,2007,2007,2,0,90,80,45.00,0,1,England
"Kabir Ali, KP Pietersen",2005-2005,2005,2005,2,0,89,53,44.50,0,1,England
"RS Bopara, PA Nixon",2007-2007,2007,2007,2,0,89,87,44.50,0,1,England
"TT Bresnan, RJ Sidebottom",2009-2009,2009,2009,4,1,89,40,29.66,0,0,England
"AR Caddick, PD Collingwood",2002-2003,2002,2003,5,1,89,36,22.25,0,0,England
"GA Gooch, WN Slack",1986-1986,1986,1986,1,0,89,89,89.00,0,1,England
"CT Radley, DW Randall",1978-1978,1978,1978,1,0,89,89,89.00,0,1,England
"DL Bairstow, JM Brearley",1979-1980,1979,1980,6,0,88,23,14.66,0,0,England
"PD Collingwood, JL Denly",2009-2009,2009,2009,2,0,88,55,44.00,0,1,England
"N Hussain, OA Shah",2002-2003,2002,2003,2,0,88,71,44.00,0,1,England
"CC Lewis, AJ Stewart",1990-1996,1990,1996,7,1,88,24,14.66,0,0,England
"AU Rashid, LJ Wright",2009-2009,2009,2009,2,0,88,46,44.00,0,0,England
"JWM Dalrymple, GO Jones",2006-2006,2006,2006,4,0,87,34,21.75,0,0,England
"MB Loye, AJ Strauss",2007-2007,2007,2007,3,0,87,52,29.00,0,1,England
"JM Bairstow, DJ Willey",2015-2017,2015,2017,3,1,86,62,43.00,0,1,England
"RC Russell, GP Thorpe",1996-1997,1996,1997,6,0,86,35,14.33,0,0,England
"AJ Lamb, RC Russell",1990-1990,1990,1990,3,0,85,44,28.33,0,0,England
"DI Gower, TA Lloyd",1984-1984,1984,1984,3,0,84,31,28.00,0,0,England
"MA Atherton, N Hussain",1996-1997,1996,1997,2,0,83,49,41.50,0,0,England
"TT Bresnan, JWM Dalrymple",2006-2006,2006,2006,3,0,83,36,27.66,0,0,England
"A Flintoff, PA Nixon",2007-2007,2007,2007,3,0,83,60,27.66,0,1,England
"IJ Gould, DW Randall",1983-1983,1983,1983,3,0,83,56,27.66,0,1,England
"CT Radley, B Wood",1978-1978,1978,1978,1,0,83,83,83.00,0,1,England
"SW Billings, EJG Morgan",2015-2017,2015,2017,2,0,82,67,41.00,0,1,England
"MA Ealham, C White",2000-2000,2000,2000,4,0,82,47,20.50,0,0,England
"DL Amiss, JA Jameson",1975-1975,1975,1975,2,0,81,54,40.50,0,1,England
"D Gough, GA Hick",1994-1999,1994,1999,3,0,81,74,27.00,0,1,England
"RC Irani, ME Trescothick",2002-2002,2002,2002,2,0,81,68,40.50,0,1,England
"ID Blackwell, OA Shah",2002-2003,2002,2003,3,0,80,38,26.66,0,0,England
"SM Davies, IJL Trott",2010-2011,2010,2011,2,0,80,75,40.00,0,1,England
"NH Fairbrother, C White",1996-1996,1996,1996,2,0,80,51,40.00,0,1,England
"APE Knott, CM Old",1974-1977,1974,1977,3,1,80,35,40.00,0,0,England
"IJL Trott, LJ Wright",2010-2011,2010,2011,2,0,80,49,40.00,0,0,England
"CWJ Athey, IT Botham",1987-1987,1987,1987,2,0,79,57,39.50,0,1,England
"JWM Dalrymple, VS Solanki",2006-2006,2006,2006,2,0,79,62,39.50,0,1,England
"MA Ealham, AJ Hollioake",1997-1999,1997,1999,6,0,79,26,13.16,0,0,England
"DJ Capel, JE Emburey",1987-1988,1987,1988,4,0,78,36,19.50,0,0,England
"AJ Hollioake, NV Knight",1996-1998,1996,1998,3,0,78,39,26.00,0,0,England
"AJ Lamb, VJ Marks",1984-1985,1984,1985,5,0,78,41,15.60,0,0,England
"CWJ Athey, RO Butcher",1980-1980,1980,1980,1,0,77,77,77.00,0,1,England
"MP Bicknell, ARC Fraser",1990-1991,1990,1991,3,0,77,36,25.66,0,0,England
"PD Collingwood, JN Snape",2002-2002,2002,2002,2,0,77,51,38.50,0,1,England
"AD Hales, BA Stokes",2016-2016,2016,2016,2,0,77,70,38.50,0,1,England
"DW Randall, BC Rose",1977-1977,1977,1977,2,0,77,61,38.50,0,1,England
"GO Jones, VS Solanki",2005-2006,2005,2006,3,0,76,50,25.33,0,1,England
"TT Bresnan, AN Cook",2011-2011,2011,2011,1,0,75,75,75.00,0,1,England
"PAJ DeFreitas, DR Pringle",1987-1992,1987,1992,5,2,75,25,25.00,0,0,England
"MW Gatting, JD Love",1981-1981,1981,1981,1,0,75,75,75.00,0,1,England
"DI Gower, MD Moxon",1985-1985,1985,1985,2,0,75,53,37.50,0,1,England
"AJ Lamb, MD Moxon",1985-1985,1985,1985,3,0,75,54,25.00,0,1,England
"AR Caddick, D Gough",1997-2002,1997,2002,8,1,74,27,10.57,0,0,England
"A Flintoff, SR Patel",2008-2008,2008,2008,1,0,74,74,74.00,0,1,England
"AJ Lamb, P Willey",1986-1986,1986,1986,2,0,74,62,37.00,0,1,England
"MM Ali, JM Bairstow",2015-2016,2015,2016,2,0,73,50,36.50,0,1,England
"PD Collingwood, CMW Read",2003-2006,2003,2006,5,1,73,44*,18.25,0,0,England
"A McGrath, MP Vaughan",2003-2004,2003,2004,4,1,73,49*,24.33,0,0,England
"CWJ Athey, G Boycott",1980-1980,1980,1980,1,0,72,72,72.00,0,1,England
"DJ Capel, AJ Lamb",1989-1990,1989,1990,3,0,72,68,24.00,0,1,England
"JWM Dalrymple, ME Trescothick",2006-2006,2006,2006,1,0,72,72,72.00,0,1,England
"CC Lewis, RA Smith",1993-1993,1993,1993,3,1,72,30*,36.00,0,0,England
"ID Blackwell, GO Jones",2005-2006,2005,2006,4,0,71,25,17.75,0,0,England
"TT Bresnan, SR Patel",2011-2012,2011,2012,6,1,71,47,14.20,0,0,England
"MH Denness, MJ Smith",1973-1973,1973,1973,1,0,71,71,71.00,0,1,England
"CJ Jordan, EJG Morgan",2014-2015,2014,2015,3,0,71,56,23.66,0,1,England
"EJG Morgan, CR Woakes",2014-2017,2014,2017,5,0,71,32,14.20,0,0,England
"AU Rashid, JE Root",2016-2018,2016,2018,3,0,71,30,23.66,0,0,England
"PD Collingwood, MH Yardy",2006-2011,2006,2011,3,0,70,56,23.33,0,1,England
"MV Fleming, GP Thorpe",1997-1997,1997,1997,1,0,70,70,70.00,0,1,England
"D Gough, CMW Read",2000-2004,2000,2004,5,1,70,34,17.50,0,0,England
"BC Hollioake, OA Shah",2001-2001,2001,2001,1,1,70,70*,-,0,1,England
"BC Hollioake, JN Snape",2002-2002,2002,2002,1,0,70,70,70.00,0,1,England
"TE Jesty, DW Randall",1983-1983,1983,1983,4,1,70,54,23.33,0,1,England
"IJL Trott, CR Woakes",2011-2013,2011,2013,3,0,70,43,23.33,0,0,England
"SCJ Broad, RJ Sidebottom",2007-2008,2007,2008,6,2,69,17*,17.25,0,0,England
"AD Brown, GP Thorpe",1996-1996,1996,1996,1,0,69,69,69.00,0,1,England
"RDB Croft, AD Mullally",1997-1999,1997,1999,3,0,69,41,23.00,0,0,England
"AR Caddick, A Flintoff",2002-2003,2002,2003,2,0,68,55,34.00,0,1,England
"AJ Lamb, CL Smith",1984-1984,1984,1984,2,0,68,50,34.00,0,1,England
"KP Pietersen, MH Yardy",2006-2011,2006,2011,2,0,68,50,34.00,0,1,England
"RDB Croft, ARC Fraser",1998-1998,1998,1998,2,0,67,44,33.50,0,0,England
"MW Gatting, VJ Marks",1984-1984,1984,1984,1,0,67,67,67.00,0,1,England
"D Gough, BC Hollioake",2001-2001,2001,2001,1,0,67,67,67.00,0,1,England
"G Miller, DR Pringle",1982-1984,1982,1984,3,1,67,54,33.50,0,1,England
"RS Bopara, BA Stokes",2011-2014,2011,2014,5,0,66,40,13.20,0,0,England
"JM Brearley, BC Rose",1977-1977,1977,1977,1,0,66,66,66.00,0,1,England
"JM Anderson, IJL Trott",2010-2013,2010,2013,2,0,65,47,32.50,0,0,England
"GD Barlow, GA Gooch",1976-1976,1976,1976,2,0,65,64,32.50,0,1,England
"IT Botham, CJ Richards",1987-1987,1987,1987,4,1,65,35,21.66,0,0,England
"PD Collingwood, EC Joyce",2007-2007,2007,2007,3,0,65,45,21.66,0,0,England
"NV Knight, OA Shah",2001-2002,2001,2002,4,0,65,47,16.25,0,0,England
"JK Lever, CM Old",1977-1977,1977,1977,2,0,65,55,32.50,0,1,England
"AU Rashid, DJ Willey",2016-2017,2016,2017,3,2,65,27*,65.00,0,0,England
"SW Billings, BM Duckett",2016-2016,2016,2016,1,0,64,64,64.00,0,1,England
"RS Bopara, LJ Wright",2008-2011,2008,2011,3,0,64,37,21.33,0,0,England
"R Clarke, MP Vaughan",2003-2003,2003,2003,1,0,64,64,64.00,0,1,England
"G Cook, DI Gower",1981-1983,1981,1983,3,0,64,53,21.33,0,1,England
"D Lloyd, CM Old",1974-1974,1974,1974,1,0,64,64,64.00,0,1,England
"MW Alleyne, NH Fairbrother",1999-1999,1999,1999,2,0,63,57,31.50,0,1,England
"SW Billings, JM Vince",2016-2016,2016,2016,1,0,63,63,63.00,0,1,England
"JL Denly, MJ Prior",2009-2009,2009,2009,2,0,63,53,31.50,0,1,England
"MW Gatting, AJ Stewart",1993-1993,1993,1993,2,0,63,60,31.50,0,1,England
"AF Giles, ME Trescothick",2004-2004,2004,2004,1,0,63,63,63.00,0,1,England
"APE Knott, DW Randall",1976-1976,1976,1976,1,0,63,63,63.00,0,1,England
"W Larkins, P Willey",1980-1980,1980,1980,2,0,63,56,31.50,0,1,England
"DW Randall, CL Smith",1984-1984,1984,1984,1,0,63,63,63.00,0,1,England
"NMK Smith, AJ Stewart",1996-1996,1996,1996,2,0,63,52,31.50,0,1,England
"DJ Willey, CR Woakes",2015-2017,2015,2017,4,1,63,33,21.00,0,0,England
"JM Anderson, GP Swann",2008-2013,2008,2013,9,1,62,11,7.75,0,0,England
"CWJ Athey, PAJ DeFreitas",1987-1988,1987,1988,4,0,62,27,15.50,0,0,England
"PR Downton, VJ Marks",1984-1985,1984,1985,2,0,62,58,31.00,0,1,England
"MA Ealham, MV Fleming",1997-1998,1997,1998,5,0,62,32,12.40,0,0,England
"AF Giles, D Gough",1999-2005,1999,2005,6,2,62,32,15.50,0,0,England
"D Gough, DA Reeve",1996-1996,1996,1996,1,0,62,62,62.00,0,1,England
"GA Hick, CC Lewis",1992-1996,1992,1996,4,2,62,27*,31.00,0,0,England
"RC Russell, GC Small",1989-1991,1989,1991,7,2,62,25,12.40,0,0,England
"JM Anderson, ST Finn",2011-2015,2011,2015,5,1,61,53,15.25,0,1,England
"DL Bairstow, GA Gooch",1979-1980,1979,1980,3,0,61,44,20.33,0,0,England
"SW Billings, BA Stokes",2015-2015,2015,2015,1,0,61,61,61.00,0,1,England
"JWM Dalrymple, A Flintoff",2007-2007,2007,2007,6,0,61,25,10.16,0,0,England
"PR Downton, G Fowler",1985-1985,1985,1985,1,0,61,61,61.00,0,1,England
"JE Emburey, NA Foster",1986-1987,1986,1987,4,0,61,28,15.25,0,0,England
"AJ Lamb, B Wood",1982-1982,1982,1982,1,1,61,61*,-,0,1,England
"LE Plunkett, CR Woakes",2016-2016,2016,2016,2,1,61,51*,61.00,0,1,England
"OA Shah, AJ Stewart",2001-2003,2001,2003,4,0,61,32,15.25,0,0,England
"RS Bopara, JWA Taylor",2014-2015,2014,2015,2,0,60,48,30.00,0,0,England
"IT Botham, NH Fairbrother",1992-1992,1992,1992,2,0,60,42,30.00,0,0,England
"TT Bresnan, SCJ Broad",2009-2014,2009,2014,8,0,60,47,7.50,0,0,England
"BC Broad, PAJ DeFreitas",1987-1988,1987,1988,5,0,60,34,12.00,0,0,England
"SCJ Broad, EJG Morgan",2009-2015,2009,2015,4,1,60,37,20.00,0,0,England
"TK Curran, CR Woakes",2018-2018,2018,2018,1,0,60,60,60.00,0,1,England
"D Gough, AD Mullally",1998-2001,1998,2001,8,2,60,14,10.00,0,0,England
"VJ Marks, G Miller",1983-1983,1983,1983,2,0,60,56,30.00,0,1,England
"RJ Bailey, KJ Barnett",1988-1988,1988,1988,1,0,59,59,59.00,0,1,England
"RJ Bailey, DR Pringle",1985-1988,1985,1988,2,1,59,32*,59.00,0,0,England
"ID Blackwell, NV Knight",2002-2003,2002,2003,3,0,59,39,19.66,0,0,England
"AR Caddick, C White",2000-2003,2000,2003,3,2,59,40*,59.00,0,0,England
"AJ Lamb, W Larkins",1989-1990,1989,1990,2,0,59,32,29.50,0,0,England
"AD Mascarenhas, AJ Strauss",2009-2009,2009,2009,1,0,59,59,59.00,0,1,England
"JE Morris, AJ Stewart",1990-1991,1990,1991,4,0,59,21,14.75,0,0,England
"MJ Prior, MH Yardy",2011-2011,2011,2011,2,0,59,55,29.50,0,1,England
"DJ Capel, AJ Stewart",1989-1989,1989,1989,3,0,58,47,19.33,0,0,England
"DG Cork, C White",1997-1997,1997,1997,1,0,58,58,58.00,0,1,England
"JP Crawley, N Hussain",1996-1997,1996,1997,3,0,58,28,19.33,0,0,England
"NV Knight, MP Maynard",1996-1996,1996,1996,2,0,58,53,29.00,0,1,England
"AJ Lamb, JE Morris",1990-1990,1990,1990,2,0,58,43,29.00,0,0,England
"ME Trescothick, JO Troughton",2003-2003,2003,2003,2,1,58,40,58.00,0,0,England
"MA Atherton, DI Gower",1990-1991,1990,1991,4,0,57,35,14.25,0,0,England
"RS Bopara, CR Woakes",2014-2015,2014,2015,3,0,57,41,19.00,0,0,England
"NH Fairbrother, GA Gooch",1987-1992,1987,1992,3,0,57,42,19.00,0,0,England
"JM Anderson, PD Collingwood",2002-2011,2002,2011,7,1,56,18,9.33,0,0,England
"AD Brown, NMK Smith",1996-1996,1996,1996,2,0,56,30,28.00,0,0,England
"MA Ealham, CMW Read",2000-2000,2000,2000,3,1,56,39,28.00,0,0,England
"GA Hick, RC Russell",1996-1996,1996,1996,1,0,56,56,56.00,0,1,England
"DL Amiss, DB Close",1972-1972,1972,1972,2,0,55,54,27.50,0,1,England
"JM Anderson, SCJ Broad",2007-2010,2007,2010,8,1,55,22,7.85,0,0,England
"JM Bairstow, AN Cook",2012-2012,2012,2012,1,0,55,55,55.00,0,1,England
"IJ Gould, VJ Marks",1983-1983,1983,1983,2,0,55,40,27.50,0,0,England
"AJ Hollioake, AJ Stewart",1997-1998,1997,1998,2,0,55,53,27.50,0,1,England
"RD Jackman, DW Randall",1976-1976,1976,1976,1,0,55,55,55.00,0,1,England
"MA Atherton, GD Lloyd",1997-1997,1997,1997,1,0,54,54,54.00,0,1,England
"MA Atherton, MP Maynard",1996-1996,1996,1996,1,0,54,54,54.00,0,1,England
"RDB Croft, MA Ealham",1999-2001,1999,2001,6,0,54,16,9.00,0,0,England
"OA Shah, MH Yardy",2007-2007,2007,2007,1,0,54,54,54.00,0,1,England
"DL Bairstow, GB Stevenson",1980-1981,1980,1981,3,1,53,35*,26.50,0,0,England
"MP Bicknell, PAJ DeFreitas",1990-1991,1990,1991,3,1,53,39,26.50,0,0,England
"PD Collingwood, VS Solanki",2004-2006,2004,2006,3,0,53,36,17.66,0,0,England
"NH Fairbrother, N Hussain",1999-1999,1999,1999,3,1,53,27,26.50,0,0,England
"ARC Fraser, PCR Tufnell",1991-1991,1991,1991,4,1,53,43*,17.66,0,0,England
"GA Hick, NMK Smith",1996-1996,1996,1996,2,0,53,31,26.50,0,0,England
"N Hussain, AJ Lamb",1990-1990,1990,1990,1,1,53,53*,-,0,1,England
"SR Patel, GP Swann",2011-2012,2011,2012,4,1,53,28*,17.66,0,0,England
"JM Anderson, RJ Sidebottom",2008-2009,2008,2009,3,0,52,29,17.33,0,0,England
"JM Bairstow, TS Roland-Jones",2017-2017,2017,2017,1,0,52,52,52.00,0,1,England
"GD Barlow, AW Greig",1977-1977,1977,1977,1,0,52,52,52.00,0,1,England
"PD Collingwood, AN Cook",2007-2010,2007,2010,4,0,52,22,13.00,0,0,England
"MH Denness, AW Greig",1973-1974,1973,1974,2,0,52,48,26.00,0,0,England
"ST Finn, SR Patel",2011-2013,2011,2013,3,0,52,37,17.33,0,0,England
"JC Tredwell, CR Woakes",2012-2014,2012,2014,3,0,52,19,17.33,0,0,England
"CJ Adams, NV Knight",1998-1998,1998,1998,1,0,51,51,51.00,0,1,England
"MA Atherton, PAJ DeFreitas",1991-1996,1991,1996,3,0,51,37,17.00,0,0,England
"JM Brearley, DI Gower",1979-1979,1979,1979,3,0,51,35,17.00,0,0,England
"DI Gower, CL Smith",1984-1984,1984,1984,3,0,51,36,17.00,0,0,England
"GA Hick, MR Ramprakash",1991-1998,1991,1998,4,1,51,28,17.00,0,0,England
"N Hussain, JN Snape",2001-2001,2001,2001,1,1,51,51*,-,0,1,England
"Kabir Ali, ID Blackwell",2005-2005,2005,2005,1,0,50,50,50.00,0,1,England
"JWM Dalrymple, LE Plunkett",2006-2007,2006,2007,2,1,50,31,50.00,0,0,England
"DL Maddy, VS Solanki",2000-2000,2000,2000,2,0,50,28,25.00,0,0,England
"RW Taylor, DL Underwood",1974-1975,1974,1975,2,0,50,40,25.00,0,0,England
"MM Ali, AD Hales",2014-2016,2014,2016,3,0,49,25,16.33,0,0,England
"DL Bairstow, JE Emburey",1980-1981,1980,1981,4,0,49,24,12.25,0,0,England
"IR Bell, P Mustard",2007-2008,2007,2008,3,0,49,23,16.33,0,0,England
"TT Bresnan, JC Tredwell",2011-2014,2011,2014,3,1,49,31,24.50,0,0,England
"JC Buttler, LE Plunkett",2017-2017,2017,2017,1,0,49,49,49.00,0,0,England
"MA Carberry, JE Root",2013-2013,2013,2013,2,0,49,49,24.50,0,0,England
"PD Collingwood, MR Ramprakash",2001-2001,2001,2001,2,0,49,31,24.50,0,0,England
"GA Hick, MP Maynard",1994-1994,1994,1994,4,0,49,23,12.25,0,0,England
"RWT Key, AJ Strauss",2004-2004,2004,2004,2,0,49,27,24.50,0,0,England
"GJ Batty, AD Mascarenhas",2009-2009,2009,2009,1,0,48,48,48.00,0,0,England
"ID Blackwell, ME Trescothick",2002-2004,2002,2004,3,0,48,24,16.00,0,0,England
"AF Giles, CMW Read",2003-2003,2003,2003,2,2,48,47*,-,0,0,England
"RC Irani, MP Vaughan",2002-2002,2002,2002,1,0,48,48,48.00,0,0,England
"NV Knight, VS Solanki",2000-2000,2000,2000,3,1,48,26,24.00,0,0,England
"LE Plunkett, MH Yardy",2011-2011,2011,2011,1,0,48,48,48.00,0,0,England
"DR Pringle, RA Smith",1989-1990,1989,1990,2,0,48,36,24.00,0,0,England
"AU Rashid, RJ Sidebottom",2009-2009,2009,2009,2,1,48,27*,48.00,0,0,England
"MM Ali, GS Ballance",2015-2015,2015,2015,2,0,47,29,23.50,0,0,England
"RJ Bailey, RC Russell",1990-1990,1990,1990,1,0,47,47,47.00,0,0,England
"JM Bairstow, BM Duckett",2016-2016,2016,2016,2,0,47,45,23.50,0,0,England
"IR Bell, C Kieswetter",2010-2012,2010,2012,2,0,47,29,23.50,0,0,England
"TT Bresnan, JE Root",2013-2013,2013,2013,2,0,47,47,23.50,0,0,England
"SCJ Broad, CT Tremlett",2007-2008,2007,2008,3,1,47,21*,23.50,0,0,England
"JC Buttler, ST Finn",2013-2013,2013,2013,1,0,47,47,47.00,0,0,England
"JL Denly, OA Shah",2009-2009,2009,2009,3,0,47,36,15.66,0,0,England
"A Flintoff, RWT Key",2003-2003,2003,2003,1,0,47,47,47.00,0,0,England
"GA Gooch, DM Smith",1986-1986,1986,1986,1,1,47,47*,-,0,0,England
"AJ Lamb, CC Lewis",1990-1992,1990,1992,3,0,47,34,15.66,0,0,England
"W Larkins, DM Smith",1990-1990,1990,1990,1,0,47,47,47.00,0,0,England
"D Lloyd, BW Luckhurst",1975-1975,1975,1975,1,0,47,47,47.00,0,0,England
"MR Ramprakash, GP Thorpe",1996-2001,1996,2001,3,0,47,32,15.66,0,0,England
"IT Botham, JM Brearley",1979-1980,1979,1980,2,0,46,26,23.00,0,0,England
"SCJ Broad, OA Shah",2007-2009,2007,2009,6,0,46,22,7.66,0,0,England
